id;route_number;stop_number;sequence_number;customer_number_1;customer_number_2;customer_name;customer_address;status
1;31833;30745;68006;56562;52975;connect Naira Hill;Paradigm Hawaii;Checking Account collaborative
2;45334;34089;18765;6816;84781;Northern Mariana Islands withdrawal;Savings Account magnetic experiences;Dynamic users online
3;23670;17914;40131;42462;93645;sensor Fresh;Baby model rich;Greece
4;88044;49748;55405;373;26058;invoice Idaho Architect;Salad;Generic Plastic Table Books
5;41945;40721;92995;12130;71155;Manager Small;Rustic;orchid
6;16486;81387;80821;84204;14385;Ukraine Grocery;bandwidth;optimal
7;31145;43653;34456;73889;29593;bus Cambridgeshire orange;Marshall Islands Credit Card Account;Chief embrace generate
8;9141;99842;82124;70995;99361;cyan info-mediaries Consultant;Fully-configurable;Digitized Nakfa
9;51029;74124;38727;23685;30520;Mandatory Center Kuwait;Representative Baby;calculating generating
10;7688;19949;56444;40378;95146;Senior Salad;bluetooth virtual strategic;Group bleeding-edge
